{'time': '2023-10-23 21:04:42', 'cpu_percent': 0.0, 'memory': 1669201920}
{'time': '2023-10-23 21:04:47', 'cpu_percent': 0.0, 'memory': 1694765056}
{'time': '2023-10-23 21:04:52', 'cpu_percent': 0.0, 'memory': 1857884160}
{'time': '2023-10-23 21:04:57', 'cpu_percent': 0.0, 'memory': 1770147840}
{'time': '2023-10-23 21:05:02', 'cpu_percent': 0.0, 'memory': 1820209152}
{'time': '2023-10-23 21:05:07', 'cpu_percent': 0.0, 'memory': 1870462976}
{'time': '2023-10-23 21:05:12', 'cpu_percent': 0.0, 'memory': 1745076224}
{'time': '2023-10-23 21:05:17', 'cpu_percent': 0.0, 'memory': 1795305472}
{'time': '2023-10-23 21:05:22', 'cpu_percent': 0.0, 'memory': 1745178624}
{'time': '2023-10-23 21:05:27', 'cpu_percent': 0.0, 'memory': 1895796736}
{'time': '2023-10-23 21:05:32', 'cpu_percent': 0.0, 'memory': 1845338112}
{'time': '2023-10-23 21:05:37', 'cpu_percent': 0.0, 'memory': 1795313664}
{'time': '2023-10-23 21:05:42', 'cpu_percent': 0.0, 'memory': 1845477376}
{'time': '2023-10-23 21:05:47', 'cpu_percent': 0.0, 'memory': 1795129344}
{'time': '2023-10-23 21:05:52', 'cpu_percent': 0.0, 'memory': 1895481344}
{'time': '2023-10-23 21:05:57', 'cpu_percent': 0.0, 'memory': 1820237824}
{'time': '2023-10-23 21:06:02', 'cpu_percent': 0.0, 'memory': 1807974400}
{'time': '2023-10-23 21:06:07', 'cpu_percent': 0.0, 'memory': 1770291200}
{'time': '2023-10-23 21:06:12', 'cpu_percent': 0.0, 'memory': 1820418048}
{'time': '2023-10-23 21:06:17', 'cpu_percent': 0.0, 'memory': 1820491776}
{'time': '2023-10-23 21:06:22', 'cpu_percent': 0.0, 'memory': 1869299712}
{'time': '2023-10-23 21:06:27', 'cpu_percent': 0.0, 'memory': 1845456896}
