[{'time': '2023-10-23 21:04:42', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:04:47', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:04:52', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:04:57', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:02', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:07', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:12', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:17', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:22', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:27', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:32', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:37', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:42', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:47', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:52', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:05:57', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:06:02', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:06:07', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:06:12', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:06:17', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:06:22', 'gpu_percent': 0, 'gpu_memory': 403963904}]
[{'time': '2023-10-23 21:06:27', 'gpu_percent': 0, 'gpu_memory': 403963904}]
